Date Played,Course Name,Tee Name,Gross Score,Adjusted Gross Score,Rating,Slope,Differential,Used for Handicap
2026-06-20,"Apogee West",Championship,82,82,73.1,138,7.3,No
2026-06-14,"Apogee Pine",Tournament,79,79,72.8,135,5.2,Yes
2026-06-08,"Grove XXIII",Jordan,85,84,74.2,140,7.9,No
2026-06-02,"Pebble Beach",Blue,88,88,74.3,144,10.7,No
2026-05-28,"Apogee West",Championship,81,81,73.1,138,6.5,Yes
2026-05-20,"Seminole GC",Back,84,84,73.8,137,8.4,No
2026-05-15,"Apogee Pine",Tournament,80,80,72.8,135,6,Yes
2026-05-10,"Bethpage Black",Blue,91,89,76.6,148,9.5,No
2026-05-04,"Grove XXIII",Jordan,83,83,74.2,140,7.1,Yes
2026-04-28,"Pinehurst No. 2",Blue,86,86,73.5,136,10.4,No
2026-04-22,"Apogee Pine",Tournament,78,78,72.8,135,4.4,Yes
2026-04-15,"Apogee West",Championship,83,83,73.1,138,8.1,No
2026-04-09,"National Golf Links",Members,85,85,72.6,132,10.6,No
2026-04-02,"Seminole GC",Back,80,80,73.8,137,5.1,Yes
2026-03-27,"Apogee West",Championship,89,88,73.1,138,12.2,No
2026-03-21,"Pebble Beach",Blue,84,84,74.3,144,7.6,No
2026-03-15,"Grove XXIII",Jordan,83,83,74.2,140,7.1,No
2026-03-08,"Apogee Pine",Tournament,86,86,72.8,135,11,No
2026-03-01,"Pebble Beach",Blue,80,80,74.3,144,4.5,Yes
2026-02-22,"Seminole GC",Back,82,82,73.8,137,6.8,Yes
